TransactionId,Region,Category,SalesRep,Quantity,Revenue,Cost,Status,TransactionDate
1,North America,Electronics,Fiona Gallagher,79,14256.34,7006.84,Processing,2025-09-08
2,Asia-Pacific,Furniture,Charlie Brown,3,125.91,79.98,Completed,2025-03-24
3,Latin America,Furniture,Alice Johnson,36,5634,3352.9,Processing,2025-07-20
4,Asia-Pacific,Furniture,Bob Smith,21,2488.71,1421.92,Processing,2025-03-21
5,North America,Office Supplies,Diana Prince,71,7472.75,3867.06,Pending,2025-04-18
6,Europe,Furniture,Fiona Gallagher,85,12228.95,7385.78,Completed,2025-05-14
7,North America,Office Supplies,Evan Wright,93,4686.27,2219.9,Completed,2025-05-10
8,North America,Home Appliances,Alice Johnson,73,12307.8,6658.69,Shipped,2025-09-20
9,Europe,Furniture,Evan Wright,26,783.64,366.8,Processing,2025-04-07
10,Latin America,Office Supplies,Diana Prince,7,1181.67,537.91,Processing,2025-06-20
11,North America,Home Appliances,Diana Prince,39,2874.3,1373.46,Pending,2025-03-13
12,Asia-Pacific,Office Supplies,Evan Wright,81,3060.99,2091.56,Completed,2025-02-02
13,Latin America,Furniture,Bob Smith,99,14255.01,9714.53,Processing,2025-03-23
14,Latin America,Office Supplies,Fiona Gallagher,85,5955.1,2757.75,Pending,2025-04-22
15,North America,Electronics,George Clark,54,860.22,518.78,Pending,2025-06-24
16,Asia-Pacific,Apparel,Fiona Gallagher,67,12981.25,8120.24,Pending,2025-02-03
17,Europe,Office Supplies,George Clark,35,1761.55,989.83,Shipped,2025-04-23
18,Asia-Pacific,Furniture,Evan Wright,4,465.56,245.7,Pending,2025-09-01
19,North America,Office Supplies,Fiona Gallagher,3,367.95,237.74,Pending,2025-04-12
20,North America,Furniture,Fiona Gallagher,55,8275.85,4133.09,Shipped,2025-07-24
21,Latin America,Furniture,Fiona Gallagher,90,5409.9,2655.86,Shipped,2025-10-03
22,Europe,Furniture,Fiona Gallagher,12,2322,1558.69,Pending,2025-07-19
23,North America,Electronics,Charlie Brown,13,276.25,176.58,Pending,2025-04-26
24,North America,Home Appliances,Fiona Gallagher,17,1676.37,1016.69,Shipped,2025-05-15
25,North America,Furniture,Evan Wright,11,440.55,247.4,Processing,2025-06-02
26,Asia-Pacific,Home Appliances,Bob Smith,97,19502.82,8783.69,Shipped,2025-11-13
27,Europe,Office Supplies,Alice Johnson,5,618.75,321.09,Shipped,2025-01-02
28,Europe,Furniture,Alice Johnson,63,9395.82,5089.93,Pending,2025-08-10
29,North America,Apparel,Alice Johnson,95,13271.5,9176.59,Pending,2025-02-15
30,Asia-Pacific,Furniture,George Clark,89,5062.32,3504.41,Shipped,2025-02-27
31,Europe,Furniture,Bob Smith,34,782.68,369.03,Completed,2025-02-04
32,Latin America,Furniture,Bob Smith,49,3390.31,2025.37,Processing,2025-11-09
33,Europe,Furniture,Diana Prince,82,16805.9,7617.02,Processing,2025-07-23
34,North America,Furniture,Diana Prince,38,4237,2629.92,Shipped,2025-11-09
35,North America,Electronics,Charlie Brown,19,3268.57,1886.11,Completed,2025-11-22
36,Europe,Electronics,Fiona Gallagher,30,6344.1,4255.09,Processing,2025-07-26
37,Europe,Home Appliances,Diana Prince,4,670.16,337.05,Pending,2025-11-22
38,Asia-Pacific,Electronics,George Clark,89,10588.33,7320.62,Processing,2025-06-24
39,North America,Furniture,Alice Johnson,99,18178.38,8917.62,Processing,2025-08-13
40,North America,Office Supplies,Alice Johnson,99,17320.05,10144.37,Processing,2025-03-02
41,Asia-Pacific,Home Appliances,Alice Johnson,80,5260.8,2372.96,Processing,2025-10-24
42,Latin America,Apparel,Bob Smith,65,11627.85,5545.85,Completed,2025-10-06
43,Latin America,Apparel,George Clark,12,1012.32,535.87,Processing,2025-02-11
44,Asia-Pacific,Electronics,Alice Johnson,18,2766.42,1556.22,Completed,2025-03-18
45,Latin America,Office Supplies,Evan Wright,71,2681.67,1857.19,Shipped,2025-04-03
46,North America,Home Appliances,George Clark,40,1712.8,1028.06,Pending,2025-07-12
47,North America,Electronics,Fiona Gallagher,22,3264.36,2164.01,Processing,2025-04-21
48,Latin America,Apparel,Charlie Brown,78,7782.84,3846.67,Processing,2025-03-10
49,Asia-Pacific,Electronics,Alice Johnson,75,13197,6817.83,Shipped,2025-02-09
50,Asia-Pacific,Office Supplies,Fiona Gallagher,54,6846.12,3521.05,Shipped,2025-04-06
51,Latin America,Furniture,Bob Smith,91,8619.52,4646.53,Shipped,2025-03-17
52,Asia-Pacific,Apparel,Alice Johnson,10,462.6,299.26,Pending,2025-11-13
53,Europe,Furniture,Bob Smith,40,1468.4,796.69,Shipped,2025-04-25
54,North America,Apparel,Bob Smith,29,3335.29,1674.49,Shipped,2025-03-01
55,North America,Apparel,Bob Smith,43,5269.22,2644.97,Processing,2025-07-12
56,North America,Electronics,Charlie Brown,20,2543.4,1207.92,Processing,2025-10-25
57,Latin America,Electronics,Fiona Gallagher,54,7078.32,4061.98,Completed,2025-04-13
58,Europe,Apparel,Charlie Brown,25,4594.5,2206.57,Processing,2025-08-07
59,North America,Apparel,George Clark,70,11988.2,7411.88,Processing,2025-02-08
60,Asia-Pacific,Office Supplies,Evan Wright,77,7533.68,4507.4,Processing,2025-03-07
61,North America,Home Appliances,Bob Smith,16,588.8,278.69,Processing,2025-09-23
62,North America,Apparel,Fiona Gallagher,45,4920.3,2590.21,Pending,2025-10-04
63,Latin America,Furniture,Charlie Brown,50,4805,2538.89,Completed,2025-10-24
64,Latin America,Home Appliances,Alice Johnson,96,20615.04,12375.38,Shipped,2025-10-23
65,North America,Office Supplies,Evan Wright,63,12491.64,8598.16,Shipped,2025-07-13
66,Europe,Electronics,Alice Johnson,31,5912.32,3079.53,Completed,2025-07-01
67,Latin America,Electronics,Charlie Brown,36,2305.08,1180.06,Shipped,2025-03-27
68,Latin America,Electronics,Fiona Gallagher,87,10893.27,6646.04,Shipped,2025-03-10
69,Asia-Pacific,Electronics,Evan Wright,8,1525.76,1052.16,Pending,2025-10-22
70,Latin America,Apparel,Diana Prince,69,5635.23,3925.2,Completed,2025-08-19
71,Europe,Furniture,Bob Smith,59,5586.71,3809.76,Pending,2025-02-15
72,Asia-Pacific,Apparel,Bob Smith,47,1431.15,833.49,Pending,2025-09-14
73,Europe,Office Supplies,Alice Johnson,82,9331.6,5248.91,Processing,2025-05-13
74,Europe,Apparel,Charlie Brown,83,4705.27,3114.98,Pending,2025-03-26
75,North America,Furniture,Diana Prince,46,9290.62,4944.87,Completed,2025-03-07
76,Asia-Pacific,Furniture,Charlie Brown,61,12534.89,8246.28,Pending,2025-07-04
77,Asia-Pacific,Home Appliances,Diana Prince,89,4640.46,3163.69,Processing,2025-05-13
78,North America,Furniture,Fiona Gallagher,61,4230.96,2046.91,Completed,2025-05-15
79,Latin America,Electronics,Alice Johnson,18,2391.12,1236.5,Completed,2025-10-01
80,North America,Electronics,Alice Johnson,55,3523.3,1669.59,Pending,2025-03-07
81,Europe,Office Supplies,Charlie Brown,29,622.92,352.94,Pending,2025-02-25
82,Europe,Office Supplies,Fiona Gallagher,28,1778.56,988.13,Completed,2025-10-11
83,North America,Office Supplies,Fiona Gallagher,42,8965.32,4408.58,Shipped,2025-09-10
84,Europe,Apparel,Fiona Gallagher,93,7964.52,3609.78,Processing,2025-08-25
85,North America,Apparel,George Clark,71,1264.51,790.15,Completed,2025-10-11
86,Europe,Electronics,Fiona Gallagher,2,303.62,201.13,Shipped,2025-01-24
87,Asia-Pacific,Office Supplies,Alice Johnson,19,2337.95,1456.88,Pending,2025-01-12
88,North America,Home Appliances,Evan Wright,1,137.19,73.71,Pending,2025-03-08
89,Europe,Home Appliances,Evan Wright,19,2465.44,1488.16,Processing,2025-11-16
90,Asia-Pacific,Office Supplies,Fiona Gallagher,71,13363.62,7663.26,Completed,2025-06-03
91,Latin America,Home Appliances,Charlie Brown,37,5390.16,3207.15,Pending,2025-07-27
92,Latin America,Home Appliances,Bob Smith,47,8233.46,4566.58,Completed,2025-04-03
93,North America,Apparel,Charlie Brown,71,4947.99,3413.08,Pending,2025-02-14
94,Asia-Pacific,Electronics,Bob Smith,92,10449.36,6091.53,Processing,2025-06-09
95,Latin America,Electronics,Evan Wright,17,2253.01,1342.44,Completed,2025-09-03
96,Europe,Furniture,Alice Johnson,68,5825.56,3728.29,Shipped,2025-04-21
97,Asia-Pacific,Furniture,Bob Smith,41,2257.46,1112.88,Completed,2025-10-17
98,Latin America,Electronics,George Clark,67,13982.23,7962.48,Processing,2025-07-07
99,Asia-Pacific,Electronics,Evan Wright,89,17240.19,8605.24,Shipped,2025-06-23
100,Europe,Apparel,Charlie Brown,95,12801.25,8123.05,Shipped,2025-10-04
101,North America,Apparel,Fiona Gallagher,86,6411.3,4476.07,Pending,2025-09-20
102,North America,Apparel,Evan Wright,44,1663.64,800.28,Completed,2025-03-05
103,North America,Home Appliances,Diana Prince,94,17706.78,9576.21,Pending,2025-09-02
104,Europe,Electronics,Alice Johnson,92,16348.4,10758.09,Pending,2025-04-24
105,Asia-Pacific,Electronics,Bob Smith,82,3719.52,1821.08,Pending,2025-01-22
106,North America,Furniture,Charlie Brown,67,10380.31,5752.69,Completed,2025-07-27
107,Asia-Pacific,Home Appliances,Fiona Gallagher,4,110.48,55.97,Shipped,2025-08-19
108,Asia-Pacific,Home Appliances,Fiona Gallagher,31,1150.1,589.42,Shipped,2025-07-05
109,Latin America,Home Appliances,Alice Johnson,13,2557.75,1205.32,Pending,2025-03-16
110,Asia-Pacific,Electronics,Charlie Brown,90,7672.5,5024.52,Pending,2025-02-13
111,North America,Apparel,Alice Johnson,7,255.5,144.36,Completed,2025-07-06
112,Latin America,Furniture,George Clark,95,2386.4,1400.97,Completed,2025-06-20
113,Latin America,Furniture,Fiona Gallagher,77,14291.2,8212.52,Shipped,2025-06-18
114,Europe,Electronics,George Clark,3,126.03,77.02,Pending,2025-02-27
115,North America,Apparel,Fiona Gallagher,86,11149.9,6996.21,Shipped,2025-02-23
116,Asia-Pacific,Office Supplies,Alice Johnson,88,8190.16,4995.95,Pending,2025-10-23
117,Asia-Pacific,Furniture,George Clark,71,9022.68,5113.7,Completed,2025-02-11
118,Europe,Office Supplies,Charlie Brown,60,10600.8,4978.03,Shipped,2025-06-23
119,Latin America,Electronics,Diana Prince,14,2008.02,904.47,Completed,2025-10-01
120,Asia-Pacific,Home Appliances,Charlie Brown,83,3918.43,2055.29,Processing,2025-11-25
121,North America,Home Appliances,George Clark,46,7289.62,3649.11,Completed,2025-05-18
122,Asia-Pacific,Home Appliances,George Clark,25,2458.75,1455.42,Pending,2025-08-23
123,Europe,Office Supplies,Alice Johnson,21,3906.63,2272.04,Completed,2025-11-05
124,North America,Apparel,Evan Wright,49,7395.57,5025.9,Completed,2025-11-16
125,Latin America,Apparel,Diana Prince,96,14746.56,10286.64,Shipped,2025-06-01
126,North America,Furniture,Fiona Gallagher,97,3606.46,1911.61,Shipped,2025-11-10
127,Latin America,Home Appliances,Evan Wright,71,8402.14,4946.9,Completed,2025-02-20
128,North America,Furniture,Charlie Brown,40,2752.4,1807.19,Completed,2025-08-02
129,Europe,Apparel,Evan Wright,24,3973.44,2623.25,Pending,2025-05-21
130,Europe,Electronics,Fiona Gallagher,82,10438.6,5528.51,Processing,2025-02-04
131,Latin America,Apparel,George Clark,20,3633.6,2509.22,Completed,2025-11-02
132,Asia-Pacific,Home Appliances,Fiona Gallagher,6,400.98,186.89,Pending,2025-01-09
133,Latin America,Furniture,Evan Wright,28,2331.84,1501.44,Shipped,2025-02-26
134,Latin America,Office Supplies,Diana Prince,87,5683.71,2775.76,Shipped,2025-10-27
135,North America,Furniture,Charlie Brown,46,3095.34,1927.33,Shipped,2025-02-11
136,Latin America,Home Appliances,Alice Johnson,47,8114.08,4142.38,Pending,2025-07-22
